id,num_rhyming_lines,num_perfectly_rhyming_lines,num_lines
c20-american/am20114/Z300221220,0,0,14
english/wattsisa/Z400522989,20,16,20
english-ed2/miscell3/Z300440750,20,14,20
c20-american/am20114/Z300220672,6,2,13
english/wattsisa/Z400522722,17,8,20
english/wattsisa/Z400522825,14,11,16
english/browniro/Z200290194,18,7,20
c20-english/yeats/Z500351458,15,11,15
c20-english/ep20142/Z200584677,11,8,15
english/smartchr/Z200487468,12,10,13
c20-african-american/da20018/Z200326704,14,13,15
english/wattsisa/Z400522876,15,12,16
c20-american/am23101/Z300257328,8,6,16
english/brownieb/Z200289174,12,8,14
english/wesleych/Z400527500,14,14,16
american/am0415/Z200159273,20,13,20
american/am1185/Z200192729,7,4,15
english/miltonjo/Z300437813,10,8,14
english/brownieb/Z200289184,11,9,14
english/wordswwi/Z400543085,14,10,14
faber/fa20402/Z200564730,14,12,14
english/miscell3/Z300440728,14,12,14
american/am1066/Z300188331,2,0,17
english/miscell3/Z300440761,11,8,16
american/am1183/Z300192348,9,7,16
english/wattsisa/Z300522597,11,7,16
english/thompsfr/Z400568845,12,8,14
english/shelleyp/Z300484271,13,12,14
english-ed2/ep2514/Z300667085,14,12,14
english/clarejoh/Z200646538,14,11,14
english/miscell3/Z300440735,14,12,14
c20-american/am20012/Z300328271,11,10,14
english/lambchar/Z200411113,14,4,14
c20-english/ep20142/Z200584690,9,2,16
english-ed2/miscell3/Z300440761,11,8,16
american/am0710/Z200170848,14,10,16
english/brownieb/Z200289170,14,13,14
faber/fa20402/Z200564724,13,4,13
faber/fa20301/Z300296988,13,10,15
english/clevelan/Z200315113,12,8,14
english/langandr/Z300413090,13,5,15
english/wattsisa/Z400522760,11,5,16
c20-english/ep83001/Z400299992,12,10,14
english/wattsisa/Z400522796,16,8,16
c20-english/ep20029/Z200595439,11,0,15
english/wordswwi/Z400543545,14,12,14
english/dowdened/Z300341252,14,12,14
english/wattsisa/Z400522926,18,10,20
c20-american/am22041/Z300232684,8,0,15
c20-english/ep58001/Z300607418,12,0,17
english/wordswoz/Z200543948,10,2,20
c20-african-american/da20018/Z200326702,15,8,15
english/roscoew2/Z200476646,13,12,14
american/am1183/Z300192360,13,12,14
english/wattsisa/Z400522688,13,11,20
english/miscell2/Z200439056,19,17,20
c20-american/am20012/Z400328324,11,6,16
c20-english/yeats/Z600351697,13,12,18
english/montagul/Z200443146,19,17,20
american/am0338/Z200156320,4,0,13
english/burnsrob/Z200293191,17,14,20
modern/car1702/Z300296623,12,6,16
american/am0076/Z200145509,10,6,14
american/am1013/Z400181790,14,8,15
c20-american/am20097/Z300217063,6,4,14
faber/fa2601/Z200566345,6,0,16
english-ed2/ep2514/Z300667637,14,11,14
english/wattsisa/Z400522959,17,16,20
english/sbgamble/Z200490995,18,13,20
english/hardytho/Z200137220,14,10,15
english-ed2/ep2609/Z200674663,14,10,16
faber/fa20402/Z200564726,18,12,21
faber/fa1301/Z200561155,14,2,20
english/griffinb/Z200383307,12,10,14
english/bowrings/Z200285888,20,13,20
english-ed2/ep2382/Z300632729,15,13,20
english-ed2/miscell3/Z300440746,10,7,14
english/sigerso1/Z200577508,18,13,20
english/wordswwi/Z300543379,13,13,14
c20-english/fa0201/Z200608693,9,0,18
c20-english/ep82001/Z300608359,13,12,14
english/langandr/Z400413333,13,12,14
c20-american/am23101/Z400257677,11,10,14
english/hardytho/Z200137264,11,11,15
faber/fa2501/Z300566114,13,4,20
american/am0027/Z300143934,10,6,14
