id,num_rhyming_lines,num_perfectly_rhyming_lines,num_lines
18ce1a0a,26,20,28
f2afa801,22,16,24
70325df2,8,2,26
ad1e5e63,14,10,16
7c76bf23,6,0,12
d0ae8fc4,22,6,44
0b4411b2,12,12,12
fdb23031,15,8,20
a459aa93,12,10,18
f1597c99,28,22,28
e6fe1761,20,18,24
9f283945,14,10,20
e8853300,12,12,16
9f8fcf28,8,0,24
086b5ece,31,20,36
a2f5b7f0,48,32,56
970e7e89,16,10,20
f3449aec,0,0,20
e193fedd,0,0,16
988eba20,19,15,25
bd17091d,10,6,10
491a3860,14,8,16
ea150e44,19,0,44
27655107,14,10,16
be10fe7e,10,6,14
ee6ee170,8,4,24
828f6842,8,6,10
5e6399ac,6,0,15
50fba4b6,16,14,16
f0502db3,12,12,14
3f323cc2,34,34,36
b66882b7,9,0,24
838b3893,14,12,18
3047ed43,32,24,36
7676cffb,32,28,32
aeb210e6,8,0,23
a4c7c6ef,28,18,28
fe6476e4,14,14,14
a4dc0e24,10,8,16
22c1828a,15,12,16
bd03d98e,16,12,16
5650975e,14,12,16
f37fc7f6,20,14,20
5ac48faa,8,6,16
fddfcefc,8,0,12
949f31ed,12,12,16
56fc30a2,16,14,19
5d6b38a9,13,10,20
987bd61a,14,14,18
c18098a9,41,25,48
36989542,10,10,12
ac589984,5,0,18
5fcb6652,22,14,32
8093616e,20,18,24
1c12fc1c,16,14,24
8ef1faef,20,18,20
24742b60,14,14,16
b3b0a4d2,28,26,32
ea523ea4,20,16,20
2aa90691,24,20,32
1312ff98,18,14,24
6b6d3c28,16,14,16
9e4080f2,8,4,16
e9a9224a,16,14,16
2c72dda0,14,12,20
cecb9fd7,16,14,16
81526d1a,0,0,11
db7baa71,16,12,24
51197601,10,6,12
a3e48a70,20,16,24
d2dbe27f,4,2,16
d7c2258a,2,0,32
5636b5c1,7,4,14
33acf4f1,29,20,32
702be916,10,6,12
a6abc2c0,2,0,16
d3b4e19d,4,0,32
9828c496,10,4,28
8eb589d8,10,4,20
051b3e2f,27,18,32
84c16041,37,28,44
4394b724,5,5,12
828544d5,14,12,16
3966651a,28,20,36
ea2bf71d,14,14,16
48cabc9f,30,26,36
29f80104,22,16,24
17faed35,10,10,16
0e44ed5f,18,10,24
d240f453,22,12,28
69ce5866,28,24,32
6b6129a0,18,12,20
8f368c71,8,6,12
6d823cd3,5,0,12
e36ae84b,8,6,16
d6068d11,50,44,56
4dec4316,26,16,30
fd859aec,14,14,16
0f70f83e,4,0,20
eaa13880,8,6,16
700f2389,2,0,16
2e7a86a6,42,32,44
307477ba,4,0,20
ac205f50,12,6,12
707f2f68,28,26,36
b0e0e0bf,12,12,12
5489dabb,2,0,12
4ca55a33,10,10,10
c301a2c8,0,0,12
e2f765d9,14,14,20
e1c8b9b8,4,0,11
96f36df0,12,9,20
77c93aca,12,12,14
b929ab14,26,20,28
c4784cd9,16,16,20
61196fab,10,8,10
93264d8d,11,6,12
6a95edad,6,4,21
bb273872,20,18,20
2dfbaff3,14,10,42
5b81d442,6,6,12
c4282e2a,12,10,12
7820477b,8,0,20
f2d90a4c,8,8,10
ff495303,14,14,16
1cd8b34c,3,0,10
cbe070c1,10,6,10
6229a8aa,24,23,24
f655426b,42,28,48
3ac6dfb9,10,4,18
e7db17bc,6,6,10
aa9c9e29,16,12,16
1e7fffb6,21,16,24
5c79fed8,16,12,16
e9acda14,8,4,16
fe6006ea,9,0,24
4dcf6f8e,3,0,14
c6aa8c7a,16,16,16
9808de9d,12,8,14
8c33200d,8,6,12
015c8b27,40,34,44
0a5e2500,19,14,20
41a407de,19,18,20
5f75cc7f,52,43,52
a607130c,38,32,44
6572ca1a,6,2,16
48264851,6,0,16
ece1c7c3,30,24,32
7d42b165,10,8,12
a79087e9,44,31,44
bda96768,27,24,28
f9be65f2,40,30,44
9f75af7b,34,30,36
6843f1fa,14,12,16
