id,num_rhyming_lines,num_perfectly_rhyming_lines,num_lines,rhyming_line_pairs
c20-english/abarnett/Z300683485,8.0,0.0,14.0,"[('The day dawned, and held', 'These graves', 0.7637626158259733), ('These graves', 'The traces', 0.6708203932499369), ('The traces', 'The sun set,', 0.9219544457292888), ('The traces', 'forsaken.', 0.7999999999999999), ('The day dawned, and held', 'We descended.', 0.6000000000000001), ('The day dawned, and held', 'a napping gazelle', 0.7637626158259734), ('The day dawned, and held', 'answered.', 0.8869423130433381)]"
english/smithcha/Z300489005,14.0,11.0,14.0,"[('Mute is thy wild harp, now, O Bard sublime!', 'Great Nature taught to ""built the lofty rhyme,""', 0), (""Who, amid Scotia's mountain solitude,"", 'And even beneath the daily pressure, rude,', 0), (""Who, amid Scotia's mountain solitude,"", 'Fired with the love of freedom -- Not subdued', 0.8333333333333334), ('Mute is thy wild harp, now, O Bard sublime!', 'Wertenberg thou by thy low fortune: But a time', 0), ('Mute is thy wild harp, now, O Bard sublime!', 'Like this we live in, when the abject chime', 0), ('Fired with the love of freedom -- Not subdued', 'Of echoing Parasite is best approved,', 0.0), ('Fired with the love of freedom -- Not subdued', 'Thy noble Spirit; and no longer moved', 0.0), ('Was not for thee -- Indignantly is fled', 'By all the ills over which thine heart has bled,', 0), ('Was not for thee -- Indignantly is fled', 'Associate worthy of the illustrious dead,', 0.5), ('Of labouring Poverty, thy generous blood,', 'Enjoys with them ""the Liberty it loved.""', 0.6009252125773316)]"
english/keatsjoh/Z200408021,8.0,4.0,14.0,"[('Four seasons fill the measure of the year;', 'He has his lusty Spring, when fancy clear', 0.4409585518440984), ('There are four seasons in the mind of man:', 'Takes in all beauty with and easy span:', 0), ('His soul has in its Autumn, when his wings', 'On mists in idleness -- to let fair things', 0.75), ('He furleth close; contented so to look', 'Pass by unheeded as a threshold brook.', 0)]"
english/langhorn/Z200413651,14.0,11.0,14.0,"[('The sweetest twins that ever Nature boar,', ""Where Hackthorn's vale her field-flower-garland wore,"", 0.8660254037844386), ('On thy fair morn, O hope-inspiring May!', 'Young Love and Fancy met the genial day.', 0), ('On thy fair morn, O hope-inspiring May!', 'And, all as on the thyme-green bank I lay,', 0), ('The sweetest twins that ever Nature boar,', 'A nymph of gentlest mien their train before,', 0), ('The sweetest twins that ever Nature boar,', 'Came with a smile; and Swain, she cried, no more', 0), ('On thy fair morn, O hope-inspiring May!', 'To pensive sorrow tune thy hopeless lay.', 0), ('The sweetest twins that ever Nature boar,', ""Each joy that youth's enchanted bosom warms!"", 0.99498743710662), ('Friends of thy heart, see Love and Fancy bring', 'Delight that riffes all the fragrant spring!', 0), ('Delight that riffes all the fragrant spring!', 'And dovelike Faith, that waves her silver wing. --', 0.8975274678557507), ('Fair-handed Hope, that paints unfading charms!', 'These, Swain, are thine; for Nancy meets thy arms.', 0)]"
english/tupperma/Z200513878,12.0,11.0,14.0,"[('Honest and earnest, wise and good and kind,', 'A man of gracious heart and vigorous mind,', 0), ('O that I had a pastor near my home', 'Untainted by the pestilence of Rome:', 0), ('Honest and earnest, wise and good and kind,', 'The guide, the brother, and the priest combined:', 0), ('Standing beside him, strengthening his hands, --', 'While he, uniting all men by the bans', 0.44876373392787533), ('Standing beside him, strengthening his hands, --', 'Himself should illustrate what God commands,', 0), ('Of Christian fellowship and social love,', ""Lift up our hearts to fix their Hope's above,"", 0), ('Honest and earnest, wise and good and kind,', 'And as the minister of Heaven be found', 0.7071067811865476), ('And as the minister of Heaven be found', 'The honoured friend of every neighbour round!', 0)]"
english/clarejoh/Z300313724,13.0,10.0,14.0,"[('Is open thrown & out the younkers teem', '& others dabble in the shallow stream', 0), ('Harken that happy shout -- the schoolhouse door', 'Catching young fish & turning pebbles oar', 0), ('& others dabble in the shallow stream', 'For muscle clams -- Look in that mellow gleam', 0), ('Some run to leapfrog on the rushy moor', 'Where the retiring sun that rests the while', 1.0), ('& others dabble in the shallow stream', 'Streams through the broken hedge -- How happy seem', 0), ('Where the retiring sun that rests the while', 'Those schoolboy friendships leaning oar the style', 0.7264831572567789), ('& others dabble in the shallow stream', 'Both reading in one book -- anon a dream', 0), ('Those schoolboy friendships leaning oar the style', 'Rich with new joys does their young hearts beguile', 0), ('Those schoolboy friendships leaning oar the style', 'Ah happy boys well may you turn & smile', 0), ('Ah happy boys well may you turn & smile', 'When joys are yours that never cost a sighs', 0.6666666666666667)]"
modern/car2902/Z300134423,13.0,8.0,14.0,"[('-- Scotland move? No, it is impossible!', '-- It became and island, and was able', 0.9), ('-- That was the time Scotland began to move.', 'to float in the Atlantic lake and prove', 0), ('-- It became and island, and was able', 'it loved to tempt earnest geographers,', 0.9797958971132712), ('it loved to tempt earnest geographers,', 'duck down and dub them drunk hydrographers,', 0.31943828249996997), ('crannogs no fable. Like a sea-washed log', 'shake itself dry, no longer log but dog.', 0), ('-- It became and island, and was able', '-- Was it powered? On stilts? -- Amazing grace', 0.8969082698049141), ('duck down and dub them drunk hydrographers,', 'was found in granite, it moved on pure found.', 0.8718968296952645), ('-- Was it powered? On stilts? -- Amazing grace', 'Greenland twisted round to hear it, Key West', 0.961046882889233), ('-- Was it powered? On stilts? -- Amazing grace', ""whistled, waved, Lanzarote's ashy face"", 0), ('was found in granite, it moved on pure found.', 'cracked open with laughter. There was no ground', 0)]"
c20-american/am20117/Z200223023,6.0,0.0,14.0,"[('a shuddery irritable midnight male,', 'See, it is as they say: if the Sabbath came every day', 0.7453559924999299), ('I still hear the water, old house in wind.', 'men would keep no Sabbath. To get what I want', 0.722841614740048), ('men would keep no Sabbath. To get what I want', '& to go sleep from it, terror of the empty night', 0.9464847243000456), ('& to go sleep from it, terror of the empty night', '& fall convenient among the satisfied.', 0.6666666666666667)]"
english/austinal/Z300546385,12.0,10.0,14.0,"[('Since we the march of Time can not arrest,', 'Thus will you journey with more easeful breast,', 0), ('Keep you in step with him till Time shall end:', 'Nor mar the rhythm that you cannot mend.', 0), ('Nor ever yearn impatiently to reap', 'But, having sown the seed, take care to keep', 0), ('Neither, when Summer from your life shall wane,', 'Look back and sighs regretfully in vain', 0.816496580927726), ('And Autumn fruit keep dropping from the bough,', 'For joys no longer seasonable now:', 0), ('Nor mar the rhythm that you cannot mend.', 'Thus will your hours make music to the end,', 0), ('Nor mar the rhythm that you cannot mend.', 'And Life, you loved so, become Death your friend.', 0)]"
c20-english/ep20105/Z200579973,12.0,10.0,14.0,"[('You keep the cold from the body, the cold from the mind.', ""Short shrift for the pale beast in a winter's wind,"", 0.6403124237432849), ('Heartscloth, soulswool, without you there would be', 'Too swift exposure by too harsh a sea.', 0), ('Cold I have known, its sports pages adrift', 'One crumpled Gauloise thumbing a late lift', 0), ('Past frozen dodgems in the amusement park,', 'Where Paris flamed on the defining dark.', 0), (""You've herd the gravel at the window, seen"", 'Fed buns and cocoa, sweetness, the sought dream', 0.0), ('More honour to you that you took him in,', 'Of warmth and light against your listening skin', 0)]"
english/wordswwi/Z400543236,11.0,11.0,14.0,"[('Arminius! -- all the people quaked Like Due', 'Stirred by the breeze; they rose, a Nation, true,', 0), ('True to herself -- the mighty Germany,', 'She of the Danube and the Northern Sea,', 0), ('Stirred by the breeze; they rose, a Nation, true,', 'She rose, and off at once the yoke she threw.', 0), (""Those newborn Kings she withered Like a flame.'"", '-- Woe to them all! but heaviest woe and shame', 0), ('All power was given her in the dreadful trance;', 'To that Bavarian who could first advance', 0), ('All power was given her in the dreadful trance;', 'His banner in accursed league with France,', 0), ('-- Woe to them all! but heaviest woe and shame', 'First open traitor to the Germane name!', 0)]"
modern/car2902/Z300134387,11.0,8.0,14.0,"[('over the cliff-top and into the missed', ""through the stubble and by the pheasant's tryst"", 0.7453559924999299), (""through the stubble and by the pheasant's tryst"", 'above the pines and passed the northern lights', 0.3872983346207417), ('above the pines and passed the northern lights', 'along the voe and out to meet the ice', 0.6454972243679028), ('above the pines and passed the northern lights', 'in summer lightning and beneath white nights', 0), ('along the voe and out to meet the ice', 'below the mort-gate and outwith all kind', 0.9574271077563381), ('behind the haar and in front of the tower', 'under the hill and at the boskless bower', 0), ('beyond the moor and against writ and ring', 'over the hills and far away to bring', 0), ('below the mort-gate and outwith all kind', 'over the hills and far away to mind', 0)]"
english/smithcha/Z300488935,12.0,10.0,14.0,"[('Oh, Solitude! to thy sequestered vale', 'And to thy echoes tell the mournful tale', 0), ('I come to hide my sorrow and my tears,', ""Which scarce I trust to pitying Friendship's ears!"", 0.6666666666666666), ('I come to hide my sorrow and my tears,', 'Amidst thy wild-woods, and untrodden glades,', 0.6871842709362768), ('Amidst thy wild-woods, and untrodden glades,', 'And the low winds that die among thy shades,', 0), ('And to thy echoes tell the mournful tale', 'And sure some story of despair and pain,', 0.6666666666666667), ('Amidst thy wild-woods, and untrodden glades,', 'In yond deep copse, thy murmuring doves relate;', 0.8333333333333334), ('And sure some story of despair and pain,', 'And, hark! methinks in that long plaintive strain,', 0), ('In yond deep copse, thy murmuring doves relate;', 'Thine own sweet songstress weeps my wayward fate!', 0), ('Ah, Nymph! that fate assist me to endure,', 'And bear awhile -- what death alone can cure!', 0)]"
english-ed2/miscell3/Z200441026,13.0,12.0,14.0,"[(""Except for love's sake only. Do not say"", ""'I love her for her smile . . . her look . . her way"", 1.0), ('If thou must love me, let it be for nought', 'Of speaking gently, . . . for a trick of thought', 0), ('If thou must love me, let it be for nought', 'That falls in well with mine, and certes brought', 0), (""Except for love's sake only. Do not say"", ""A sense of pleasant ease on such a day' --"", 0), (""Except for love's sake only. Do not say"", 'For these things in themselves, Beloved, may', 0), ('That falls in well with mine, and certes brought', 'Be changed, or change for thee, -- and love so wrought,', 0), ('May be unwrought so. Neither love me for', 'Since one might well forget to weep who boar', 0), (""Thine own dear pity's wiping my cheeks dry,"", 'Thy comfort long, and loose thy love thereby.', 0), ('Since one might well forget to weep who boar', ""But love me for love's sake, that evermore"", 0)]"
english/keatsjoh/Z200408001,14.0,11.0,14.0,"[('Down-looking aye, and with a chastened light,', 'Hid in the fringes of your eyelids white,', 0.7637626158259734), ('Come hither all sweet maidens soberly,', 'And meekly let your fair hands joined be,', 0), ('And meekly let your fair hands joined be,', 'As if so gentle that you could not see,', 0), ('Down-looking aye, and with a chastened light,', ""Untouch'd, a victim of your beauty bright,"", 0), (""Untouch'd, a victim of your beauty bright,"", ""Sinking away to his young spirit's night, --"", 0), ('And meekly let your fair hands joined be,', ""Sinking bewildered 'mid the dreary sea:"", 0), (""'Tis young Leander toiling to his death;"", 'Nigh swooning, he does purse his weary lips', 0.8975274678557507), (""Untouch'd, a victim of your beauty bright,"", ""For Hero's cheek, and smiles against her smile."", 0.9428090415820635), ('Nigh swooning, he does purse his weary lips', 'O horrid dream! see how his body dips', 0), ('Hid in the fringes of your eyelids white,', 'Dead-heavy; arms and shoulders gleam awhile:', 0.7071067811865476), (""'Tis young Leander toiling to his death;"", ""He's gone; up bubbles all his amorous breath!"", 0)]"
english/rawnsley/Z200472427,14.0,13.0,14.0,"[('The Leven brims with liquid amethyst!', 'How soon in headstrong youth it does enlist', 0), ('How fair, at first, by lawn and blossoming brake,', 'What natural haste the sloping meadows make,', 0), ('What natural haste the sloping meadows make,', 'And foams a lusty cataract! Years overtake', 0), ('The Leven brims with liquid amethyst!', 'Its folly; now by bitter sea waves kissed,', 0), ('The Leven brims with liquid amethyst!', 'Renouncing still, it still renews the tryst,', 0.7453559924999299), ('What natural haste the sloping meadows make,', 'Then backward swirls in vain to seek the lake.', 0), ('To celebrate its early innocent day, --', 'They wait the clouds that steal from Morecambe Bay,', 0), ('And gave their beauty with a generous mind,', ""And, after all the Leven's wandering, find"", 0), ('The Rhododendrons that adorned its birth,', 'Its grateful spirit come again to earth.', 0)]"
english/griffinb/Z200383331,14.0,14.0,14.0,"[(""My cruel Fortune's clouded with a frown,"", 'My climbing thoughts are basely haled down,', 0), ('Lurke in the bosom of eternal night:', 'My best devices prove but after-sight.', 0), (""Poor outcast of the world's exiled room,"", 'No hope reserved me but a hopeless tomb,', 0), ('I live in wilderness of deep lament:', 'When fruitless life, and fruitful woes are spent.', 0), (""My cruel Fortune's clouded with a frown,"", 'Shall Phœbus hinder little stars to shine', 0.9428090415820634), ('Shall Phœbus hinder little stars to shine', 'Sure mighty men at little ones repine,', 0), ('Or lofty Cedar Mushrome leave to grow?', 'The rich is to the poor a common foe.', 0), ('Or lofty Cedar Mushrome leave to grow?', 'Fidessa seeing how the world does go,', 0), ('Or lofty Cedar Mushrome leave to grow?', 'Ioyneth with fortune in my overthrow.', 0)]"
english/rawnsley/Z300472830,12.0,7.0,14.0,"[(""And sought the village nestling 'neath the Down"", ""Where you, whom more than fourscore summer's crown,"", 0), ('Sing from the solemn shelter of your wood.', 'Once more beside your cedar-tree I stood,', 0.7637626158259733), (""Where you, whom more than fourscore summer's crown,"", 'Climbed the gray ridge, and saw the distance frown', 0), (""Where you, whom more than fourscore summer's crown,"", 'And flash to silver, herd the long wave thrown', 0.9428090415820634), ('We talked of those old foemen, Death and Fame,', 'And you, you told me how a letter came', 0), ('We talked of those old foemen, Death and Fame,', 'Wherein a young girl summoned heart to say --', 1.0), ('""Tell him I read his poems, and I rise', 'Ever with will to be more good, more wise.""', 0.7453559924999299), ('Wherein a young girl summoned heart to say --', 'You sighed, Death vanished, only Fame could stay.', 0)]"
english/bartonbe/Z200273486,15.0,12.0,17.0,"[('heart', 'Would in their generous labours bear a part,', 0), ('honoured friend,', 'Who on more public duties now attend.', 0), ('Who on more public duties now attend.', 'Nor can I blame thee, if such thoughts should blend', 0), ('Would in their generous labours bear a part,', ""With home's enjoyments, knowing well thou art"", 0), ('Would in their generous labours bear a part,', 'Unused from any toilsome path to start', 0.5951190357119042), ('Who on more public duties now attend.', 'Whose object is to bless mankind, or mend', 0), (""Chosen as my motto! 'Twas a noble thought,"", 'With sentiments too elevating fraught,', 0), (""Bear, then, in mind the poet's lofty line,"", 'To suffer HIM one moment to repine;', 0), ('To suffer HIM one moment to repine;', 'And good it is and English heart, Like thine,', 0), ('Who on more public duties now attend.', 'Should feel the calm its truth to Milton', 0.8027729719194864), (""Chosen as my motto! 'Twas a noble thought,"", 'taught.', 0.8333333333333334)]"
english/edwards2/Z200344668,9.0,9.0,14.0,"[('Of this short life throughout the total day,', ""To follow glory's false bewitching ray,"", 0), ('As service still -- though decked in livery gay,', ""Disguis'd with titles, gilded over with pay,"", 0), ('Bounding thy wishes by the golden mean,', ""Wisely thou'st left the busy bustling scene,"", 0), ('Nor weakly bartering happiness for show;', ""In Checquer's shades to taste the joys, that flow"", 0), ('Bounding thy wishes by the golden mean,', 'From calm retirement, and a mind serene.', 0)]"
modern/car2902/Z300134413,13.0,9.0,14.0,"[('But was it art? We asked the French, who said', 'La nature est un temple où less vivants', 0.9574271077563382), ('But was it art? We asked the French, who said', ""but did it answer us? Old Christo's head"", 0), ('But was it art? We asked the French, who said', ""'The pillars of the temple are the dead,'"", 0.5), ('But was it art? We asked the French, who said', ""it said, 'packed up and bonded into led.'"", 0), ('rolled from its box, wrapped in rough manila.', 'Jowls of hemp smelled sweet Like crushed vanilla.', 0), ('La nature est un temple où less vivants', 'carefully put the head back in its place.', 1.0), ('But his descendant in her flying-suit', 'Pygmalion God it inside out, poor bruit.', 0.8975274678557507), ('carefully put the head back in its place.', ""For all they've been made art, they've not lost face."", 0), (""'Of course it's art', she said, 'we just use men."", ""They'll lift the polythene, be men again'."", 0)]"
english/smithcha/Z300488948,12.0,4.0,14.0,"[('Nymph of the rock! whose dauntless spirit braves', 'Round thy cold breast; and hearest the bursting waves', 0.7000000000000001), ('The beating storm, and bitter winds that howl', 'And the deep thunder with unshaken soul;', 0.9428090415820634), ('Oh come! -- and show how vain the cares that press', 'Is the false fleeting meteor, Happiness,', 1.0), ('Oh come! -- and show how vain the cares that press', 'That still misleads the wanderers of the earth!', 1.0), ('Oh come! -- and show how vain the cares that press', ""Strengthen'd by thee, this heart shall cease to melt"", 0.6009252125773316), (""Strengthen'd by thee, this heart shall cease to melt"", 'Nor friends estranged, or ties dissolved be felt', 0), (""O'er ills that poor humanity must bear;"", 'To leave regret, and fruitless anguish there:', 0), ('Round thy cold breast; and hearest the bursting waves', 'And when at length it heaves its latest sighs,', 0.8537498983243799)]"
english/cottonch/Z300321536,6.0,6.0,14.0,"[('As any of the other lovely three,', 'Her chiefest Grace is poor simplicity,', 0), (""She's fair enough, only she wants the art"", 'Nor ever yet made conquest of a heart:', 0), (""And yet her blood's as boiling as the best,"", 'Which, pretty soul, does so disturb her rest,', 0)]"
english/griffinb/Z200383340,10.0,6.0,14.0,"[('Oh beauty Syren, kept with Cyrces rod:', 'The sweetest plague ordained for man by God,', 0), (""Th'alluring object of unstayed eyes,"", 'The dearest thing that any creature buys,', 0), ('The fairest good in seem, but foulest ill:', 'Paying for truest service, nought but pain:', 0.9574271077563381), ('The pleasing subject of presumptuous will:', ""Young men's undoing: young and old beguiling,"", 0.9140872800534726), ('Paying for truest service, nought but pain:', 'Mans greatest lose, though thought his greatest gain.', 0), ('The sweetest plague ordained for man by God,', 'And yet most true, I will Fidessa love.', 1.0)]"
english/moultrie/Z500447671,14.0,12.0,14.0,"[('If that I did, shame blister my false tongue', 'For calumny most foul upon thee flung:', 0), ('Said I thou wast not beautiful? in sooth,', 'For what is beauty? Eye, cheek, hair, lip, tooth,', 1.0), ('For what is beauty? Eye, cheek, hair, lip, tooth,', 'Forehead and from, in bloom of radiant youth', 0.8975274678557507), ('If that I did, shame blister my false tongue', 'And faultless symmetry? Such bards have sung,', 0), ('If that I did, shame blister my false tongue', 'And painters over such enamoured hung,', 0), ('Said I thou wast not beautiful? in sooth,', 'And such have coxcombs praised with flatteries smooth;', 0), ('But more than such does heartfelt love demand,', 'Thought, sympathy, affection soft and bland,', 0), ('And more than such, beloved girl, is thine:', 'Sense, feeling, goodness in thy sweet eyes shine:', 0), ('But more than such does heartfelt love demand,', 'Is not this beauty which all understand?', 0), ('And more than such, beloved girl, is thine:', 'Which sways all hearts with power and grace divine?', 0)]"
english/sewardan/Z300482273,14.0,12.0,14.0,"[('In youth, the wounds of sorrow. -- O! survey', ""Yon now subsided deep, through' night a prey"", 0), ('Yes, thou shalt smile again! -- Time always heals', 'To warring winds, and to their furious peals', 0), ('In youth, the wounds of sorrow. -- O! survey', 'Surging tumultuous! -- yet, as in dismay,', 0), ('To warring winds, and to their furious peals', 'The settling billows tremble. -- Morning steals', 0), ('In youth, the wounds of sorrow. -- O! survey', 'Grey on the rocks; -- and soon, to pour the day', 0), ('To warring winds, and to their furious peals', 'From the streaked east, the radiant orb unveils', 0.8498365855987975), ('To warring winds, and to their furious peals', 'Of beauty, health, and hope, by soft degrees', 0.6871842709362768), ('In all his pride of light. -- Thus shall the glow', 'Spread over thy breast; disperse these storms of woe;', 0.3333333333333333), ('Of beauty, health, and hope, by soft degrees', ""Wake, with sweet pleasure's sense, the wish to please,"", 0), ('In all his pride of light. -- Thus shall the glow', 'Till from those eyes the wonted lustres flow,', 0), ('Of beauty, health, and hope, by soft degrees', 'Bright as the sun on calmed and crystal seas.', 0)]"
